incident_date,latitude,longitude,sex,age,marital_status,transport_mode,education_level,witness,crime_type,seguridad.modalidad,special_crime_type,weapon,neighborhood,neighborhood_code,district_code,location,reporting_station,item,item_category,color
01/01/2017 16:00,627.623.616,-7.555.353.312,Male,37,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,Cell phone theft,Firearm,Campo Valdés No.1,#0410,4,Public road,Aranjuez,Cell phone,Technology,Black
01/01/2017 16:00,621.907.115,-7.560.299.601,Female,29,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Descuido,None,None,La Loma de los Bernal,#1611,16,Public road,Belén,School supplies,School supplies,Unknown
01/01/2017 16:00,621.907.115,-7.560.299.601,Female,29,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Descuido,None,None,La Loma de los Bernal,#1611,16,Public road,Belén,Computer,Technology,Unknown
02/01/2017 10:30,624.275.379,-7.554.836.478,Male,36,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,Against taxi driver,Firearm,El Pinal,#0810,8,Public road,Villa Hermosa,Cash,"Money, jewelry, and valuables",Unknown
02/01/2017 10:30,624.275.379,-7.554.836.478,Male,36,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,Against taxi driver,Firearm,El Pinal,#0810,8,Public road,Villa Hermosa,Cell phone,Technology,White
02/01/2017 8:30,622.272.947,-7.558.425.274,Male,22,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,Against taxi driver,Firearm,Santa Fé,#1504,15,Public road,Belén,Cash,"Money, jewelry, and valuables",Unknown
03/01/2017 7:00,629.045.179,-7.556.460.824,Male,35,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Tricentenario,#0510,5,Estación del Metro,Castilla,Billetera,Prendas de vestir y accesorios,Unknown
03/01/2017 7:00,629.045.179,-7.556.460.824,Male,35,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Tricentenario,#0510,5,Estación del Metro,Castilla,Cédula,Documentos,Unknown
04/01/2017 15:00,627.210.659,-7.556.045.631,Male,26,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,Unknown,Firearm,Brasilia,#0414,4,Public road,Aranjuez,Cell phone,Technology,Unknown
04/01/2017 17:00,620.326.723,-755.593.313,Male,52,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,El Tesoro,#1409,14,Public road,Poblado,Accesorios prendas de vestir,Prendas de vestir y accesorios,Verde
04/01/2017 17:00,620.326.723,-755.593.313,Male,52,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,El Tesoro,#1409,14,Public road,Poblado,Cell phone,Technology,Plata
04/01/2017 15:00,627.210.659,-7.556.045.631,Male,26,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,Unknown,Firearm,Brasilia,#0414,4,Public road,Aranjuez,Radio,Technology,Unknown
04/01/2017 17:00,620.326.723,-755.593.313,Male,52,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,El Tesoro,#1409,14,Public road,Poblado,Cell phone,Technology,Black
04/01/2017 17:00,620.326.723,-755.593.313,Male,52,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,El Tesoro,#1409,14,Public road,Poblado,Accesorios prendas de vestir,Prendas de vestir y accesorios,Plata
04/01/2017 17:00,620.326.723,-755.593.313,Male,52,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,El Tesoro,#1409,14,Public road,Poblado,School supplies,School supplies,Black
04/01/2017 17:00,620.326.723,-755.593.313,Male,52,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,El Tesoro,#1409,14,Public road,Poblado,Cash,"Money, jewelry, and valuables",Unknown
04/01/2017 17:00,620.326.723,-755.593.313,Male,52,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,El Tesoro,#1409,14,Public road,Poblado,Accesorios prendas de vestir,Prendas de vestir y accesorios,Oro
04/01/2017 17:00,620.326.723,-755.593.313,Male,52,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,El Tesoro,#1409,14,Public road,Poblado,Cash,"Money, jewelry, and valuables",Unknown
04/01/2017 17:00,620.326.723,-755.593.313,Male,52,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,El Tesoro,#1409,14,Public road,Poblado,Accesorios prendas de vestir,Prendas de vestir y accesorios,Plata
05/01/2017 21:20,628.071.258,-7.557.456.728,Female,44,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Descuido,None,None,Córdoba,#0709,7,Bus de servicio público,Castilla,Cell phone,Technology,Unknown
05/01/2017 21:20,628.071.258,-7.557.456.728,Female,44,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Descuido,None,None,Córdoba,#0709,7,Bus de servicio público,Castilla,Cash,"Money, jewelry, and valuables",Unknown
06/01/2017 17:15,623.060.064,-7.557.500.448,Male,30,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,Barrio Colombia,#1401,14,Estación del Metro,Poblado,Cell phone,Technology,Black
06/01/2017 13:00,625.705.178,-7.556.632.157,Male,35,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,Jesús Nazareno,#1003,10,Estación del Metro,Candelaria,Cell phone,Technology,Black
07/01/2017 15:50,623.125.657,-7.560.099.509,Female,22,Married,Autobus,Unknown,Unknown,Personal robbery,Atraco,Unknown,Objeto contundente,Belén,#1603,16,Bus de servicio público,Belén,Cell phone,Technology,Unknown
07/01/2017 15:50,623.125.657,-7.560.099.509,Female,22,Married,Autobus,Unknown,Unknown,Personal robbery,Atraco,Unknown,Objeto contundente,Belén,#1603,16,Bus de servicio público,Belén,Accesorios prendas de vestir,Prendas de vestir y accesorios,Unknown
07/01/2017 16:40,625.265.169,-7.556.854.036,Female,50,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Atraco,Cell phone theft,Arma cortopunzante,La Candelaria,#1019,10,Public road,Candelaria,Cell phone,Technology,Unknown
08/01/2017 16:00,628.388.665,-7.558.346.953,Female,33,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Escopolamina,López de Mesa,#0710,7,Public road,Castilla,Cash,"Money, jewelry, and valuables",Unknown
08/01/2017 23:20,624.175.126,-7.555.137.958,Male,39,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,Barrio Caycedo,#0906,9,Public road,Buenos Aires,Cash,"Money, jewelry, and valuables",Unknown
08/01/2017 20:30,625.445.399,-7.556.931.493,Male,62,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Arma cortopunzante,Estación Villa,#1005,10,Public road,Candelaria,Cash,"Money, jewelry, and valuables",Unknown
09/01/2017 16:00,630.020.091,-7.555.223.513,Male,56,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Atraco,Against taxi driver,Arma cortopunzante,La Francia,#0205,2,Public road,Santa Cruz,Cell phone,Technology,Unknown
10/01/2017 16:00,623.050.465,-7.557.530.489,Female,36,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Barrio Colombia,#1401,14,Estación del Metro,Poblado,Cédula,Documentos,Unknown
10/01/2017 11:20,622.123.628,-7.558.024.015,Female,32,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,Cell phone theft,Firearm,Santa Fé,#1504,15,Public road,Belén,Cell phone,Technology,White
10/01/2017 10:30,625.325.359,-7.558.292.236,Female,29,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,Suramericana,#1102,11,Estación del Metro,Laureles,Cell phone,Technology,Unknown
10/01/2017 16:00,623.050.465,-7.557.530.489,Female,36,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Barrio Colombia,#1401,14,Estación del Metro,Poblado,Cash,"Money, jewelry, and valuables",Unknown
11/01/2017 9:30,625.721.029,-7.556.680.765,Male,52,Common-law union,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,Jesús Nazareno,#1003,10,Bus de servicio público,Candelaria,Cell phone,Technology,Unknown
12/01/2017 16:00,621.307.357,-7.557.763.123,Male,22,Single,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,Patio Bonito,#1421,14,Estación del Metro,Poblado,Cell phone,Technology,Unknown
12/01/2017 12:00,623.794.909,-7.560.840.335,Male,34,Unknown,Taxi,Unknown,Unknown,Personal robbery,Descuido,Unknown,None,La Castellana,#1110,11,Public road,Laureles,Computer,Technology,Unknown
14/01/2017 14:30,630.003.749,-7.555.846.852,Female,35,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Héctor Abad Gómez,#0507,5,Estación del Metro,Castilla,Accesorios prendas de vestir,Prendas de vestir y accesorios,Unknown
14/01/2017 14:30,630.003.749,-7.555.846.852,Female,35,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Héctor Abad Gómez,#0507,5,Estación del Metro,Castilla,Cédula,Documentos,Amarillo
14/01/2017 14:15,625.088.062,-7.556.738.164,Female,46,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,Cell phone theft,Arma cortopunzante,La Candelaria,#1019,10,Public road,Candelaria,Cell phone,Technology,Unknown
14/01/2017 16:10,626.419.053,-7.556.744.849,Female,36,Single,Autobus,Unknown,Unknown,Personal robbery,Raponazo,Cell phone theft,None,Jesús Nazareno,#1003,10,Public road,Candelaria,Cell phone,Technology,Gris
14/01/2017 16:50,628.168.038,-7.560.442.831,Female,33,Married,Taxi,Unknown,Unknown,Personal robbery,Descuido,Unknown,None,Cucaracho,#0718,7,Public road,Castilla,Computer,Technology,Unknown
16/01/2017 6:30,619.756.867,-7.559.001.412,Female,49,Single,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,La Colina,#1511,15,Bus de servicio público,Belén,Cédula,Documentos,Unknown
16/01/2017 6:30,619.756.867,-7.559.001.412,Female,49,Single,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,La Colina,#1511,15,Bus de servicio público,Belén,Cash,"Money, jewelry, and valuables",Unknown
17/01/2017 23:00,620.922.971,-7.556.816.217,Male,25,Married,Taxi,Unknown,Unknown,Personal robbery,Descuido,None,None,El Poblado,#1418,14,Public road,Poblado,Computer,Technology,Black
17/01/2017 6:10,630.020.948,-7.555.869.129,Male,27,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,Héctor Abad Gómez,#0507,5,Estación del Metro,Castilla,Cell phone,Technology,Unknown
18/01/2017 19:00,624.458.821,-7.559.471.335,Male,59,Married,Taxi,Unknown,Unknown,Personal robbery,Atraco,Cell phone theft,Arma cortopunzante,Laureles,#1108,11,Public road,Laureles,Cell phone,Technology,Unknown
18/01/2017 2:00,629.630.109,-7.558.611.956,Male,25,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,Against taxi driver,Firearm,Picacho,#0608,6,Bus de servicio público,Doce de Octubre,Cash,"Money, jewelry, and valuables",Unknown
18/01/2017 19:30,625.474.158,-7.557.832.939,Female,26,Single,Autobus,Unknown,Unknown,Personal robbery,Raponazo,None,None,Carlos E. Restrepo,#1101,11,Public road,Laureles,Cell phone,Technology,Oro
18/01/2017 7:30,629.992.462,-7.555.633.598,Female,36,Single,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,La Francia,#0205,2,Public road,Santa Cruz,Billetera,Prendas de vestir y accesorios,Unknown
19/01/2017 9:00,621.124.247,-7.557.004.776,Male,45,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,Cell phone theft,Firearm,El Poblado,#1418,14,Public road,Poblado,Cell phone,Technology,Unknown
19/01/2017 16:30,621.300.233,-7.557.784.762,Female,45,Married,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Patio Bonito,#1421,14,Estación del Metro,Poblado,Cash,"Money, jewelry, and valuables",Unknown
19/01/2017 16:30,621.300.233,-7.557.784.762,Female,45,Married,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Patio Bonito,#1421,14,Estación del Metro,Poblado,Cell phone,Technology,Unknown
20/01/2017 9:00,625.035.004,-7.556.047.228,Female,58,Single,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Boston,#1016,10,Vehículo particular,Candelaria,Cédula,Documentos,Unknown
20/01/2017 19:45,628.790.303,-7.557.021.406,Female,28,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,Cell phone theft,Firearm,Castilla,#0511,5,Public road,Castilla,Cell phone,Technology,Unknown
20/01/2017 9:00,625.035.004,-7.556.047.228,Female,58,Single,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,None,None,Boston,#1016,10,Vehículo particular,Candelaria,Cash,"Money, jewelry, and valuables",Unknown
21/01/2017 14:25,624.278.046,-7.555.483.427,Male,32,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Atraco,Unknown,Firearm,Barrio Caycedo,#0906,9,Public road,Buenos Aires,Cash,"Money, jewelry, and valuables",Unknown
21/01/2017 14:25,624.278.046,-7.555.483.427,Male,32,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Atraco,Unknown,Firearm,Barrio Caycedo,#0906,9,Public road,Buenos Aires,Cell phone,Technology,Unknown
21/01/2017 15:00,624.975.546,-7.559.122.648,Female,34,Common-law union,Taxi,Unknown,Unknown,Personal robbery,Atraco,Cell phone theft,Firearm,Florida Nueva,#1117,11,Public road,Laureles,Cell phone,Technology,White
22/01/2017 19:30,624.432.158,-7.556.980.904,Female,24,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,Cell phone theft,Arma cortopunzante,Barrio Colón,#1013,10,Public road,Candelaria,Cell phone,Technology,Unknown
22/01/2017 19:00,624.986.211,-755.687.603,Male,34,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,Unknown,Arma cortopunzante,La Candelaria,#1019,10,Public road,Candelaria,Cell phone,Technology,Unknown
23/01/2017 15:10,622.961.942,-7.557.562.675,Male,28,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,Barrio Colombia,#1401,14,Estación del Metro,Poblado,Cell phone,Technology,Black
23/01/2017 17:30,625.236.573,-7.556.767.535,Female,31,Single,Autobus,Unknown,Unknown,Personal robbery,Raponazo,Cell phone theft,None,La Candelaria,#1019,10,Public road,Candelaria,Cell phone,Technology,Unknown
23/01/2017 15:10,622.961.942,-7.557.562.675,Male,28,Common-law union,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,Barrio Colombia,#1401,14,Estación del Metro,Poblado,Cash,"Money, jewelry, and valuables",Unknown
23/01/2017 8:47,625.451.044,-7.557.460.845,Male,27,Single,Autobus,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,San Benito,#1006,10,Bus de servicio público,Candelaria,Cell phone,Technology,Unknown
24/01/2017 7:30,625.870.871,-7.559.795.346,Male,65,Divorced,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Cell phone theft,None,Calasanz,#1202,12,Estación del Metro,Laureles,Cell phone,Technology,Black
25/01/2017 17:30,61.940.115,-7.558.174.078,Male,37,Single,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Santa María de los Ángeles,#1423,14,Estación del Metro,Poblado,Cell phone,Technology,Unknown
25/01/2017 23:00,627.323.942,-7.555.398.133,Male,42,Married,Metro,Unknown,Unknown,Personal robbery,Cosquilleo,Unknown,None,Campo Valdés No.2,#0303,3,Estación del Metro plus,Manrique,Cell phone,Technology,Unknown
26/01/2017 16:05,620.385.653,-7.557.175.798,Male,42,Single,Taxi,Unknown,Unknown,Personal robbery,Atraco,None,Firearm,Patio Bonito,#1421,14,Public road,Poblado,Accesorios prendas de vestir,Prendas de vestir y accesorios,Black
